Time,201Hg,202Hg
,R1-15 Blank-1    3/12/2004 8:21:53 PM    (Run: 1),
17596,2350.000,2275.000
17679,2175.000,1700.000
17762,1900.000,1725.000
17845,1525.000,1375.000
17928,1300.000,1850.000
18011,1225.000,2200.000
18094,1400.000,1700.000
18177,1475.000,1575.000
18260,1450.000,1525.000
18343,1375.000,1300.000
18426,1425.000,1350.000
18509,1375.000,1375.000
18592,1150.000,1200.000
18675,1225.000,1025.000
18758,900.000,1050.000
18841,775.000,850.000
18924,1150.000,800.000
19007,1125.000,1225.000
19090,1300.000,1500.000
19173,1150.000,650.000
19256,1225.000,825.000
19339,950.000,350.000
19422,625.000,425.000
19505,950.000,650.000
19588,1150.000,1075.000
19671,2425.000,1125.000
19754,3675.000,1150.000
19837,6051.000,1550.000
19920,7752.000,1850.000
20003,10030.000,2050.000
20086,11950.000,1575.000
20169,15630.000,2050.000
20252,18080.000,2125.000
20335,19860.000,2050.000
20418,22110.000,2200.000
20501,25790.000,2675.000
20584,28100.000,2400.000
20667,30150.000,2400.000
20750,33080.000,2575.000
20833,37140.000,2900.000
20916,38960.000,2750.000
20999,41340.000,4075.000
21082,44980.000,3175.000
21165,47960.000,3575.000
21248,48890.000,3075.000
21331,51470.000,3325.000
21414,56660.000,3425.000
21497,57290.000,3475.000
21580,60720.000,4225.000
21663,61970.000,3900.000
21746,64060.000,4401.000
21829,67620.000,4225.000
21912,69270.000,4025.000
21995,68520.000,3875.000
22078,73040.000,3650.000
22161,76300.000,4776.000
22244,75950.000,4626.000
22327,76730.000,3825.000
22410,81870.000,5026.000
22493,81100.000,4576.000
22576,85260.000,4826.000
22659,83780.000,4426.000
22742,88430.000,5151.000
22825,86240.000,5176.000
22908,92450.000,5276.000
22991,94980.000,5476.000
23074,91970.000,4926.000
23157,92170.000,4726.000
23240,92700.000,5326.000
23323,98230.000,4726.000
23406,99360.000,5426.000
23489,94130.000,5676.000
23572,102400.000,5576.000
23655,100800.000,5851.000
23738,107000.000,5701.000
23821,102500.000,5401.000
23904,106200.000,5501.000
23987,106900.000,6001.000
24070,106800.000,5626.000
24153,113100.000,6076.000
24236,111500.000,6051.000
24319,107300.000,6326.000
24402,111100.000,5776.000
24485,112000.000,6926.000
24568,112100.000,6026.000
24651,113700.000,6201.000
24734,114200.000,5526.000
24817,111700.000,6726.000
24900,118900.000,6526.000
24983,117600.000,6301.000
25066,119400.000,6726.000
25149,120900.000,6476.000
25232,120400.000,6426.000
25315,118300.000,5551.000
25398,115300.000,6001.000
25481,121900.000,6376.000
25564,125100.000,6401.000
25647,125700.000,6651.000
25730,120700.000,6001.000
25813,122200.000,6026.000
25896,121000.000,6351.000
25979,122400.000,6426.000
26062,121700.000,6251.000
26145,120700.000,6401.000
26228,124000.000,6026.000
26311,126800.000,6876.000
26394,124400.000,6126.000
26477,129300.000,6826.000
26560,126900.000,6851.000
26643,122800.000,6401.000
26726,123600.000,6076.000
26809,128800.000,6576.000
26892,124700.000,5701.000
26975,130400.000,6251.000
27058,124400.000,6276.000
27141,127800.000,6501.000
27224,123700.000,6176.000
27307,131000.000,6351.000
27390,128700.000,6226.000
27473,126400.000,6876.000
27556,119400.000,6201.000
27639,128000.000,6251.000
27722,124200.000,6251.000
27805,124500.000,7076.000
27888,124500.000,6176.000
27971,131000.000,6401.000
28054,127600.000,6426.000
28137,127200.000,7051.000
28220,122100.000,7101.000
28303,124900.000,7051.000
28386,123800.000,6676.000
28469,123900.000,6426.000
28552,123800.000,6476.000
28635,126000.000,6501.000
28718,124900.000,5601.000
28801,121100.000,6551.000
28884,123200.000,6026.000
28967,124000.000,6126.000
29050,125100.000,5726.000
29133,123900.000,5851.000
29216,122800.000,6426.000
29299,124500.000,5901.000
29382,121100.000,6051.000
29465,119600.000,6776.000
29548,123500.000,6351.000
29631,124700.000,6701.000
29714,121500.000,6276.000
29797,116500.000,6151.000
29880,122900.000,6126.000
29963,117900.000,5851.000
30046,118200.000,5551.000
30129,118600.000,6076.000
30212,119800.000,6226.000
30295,118000.000,6176.000
30378,120500.000,6001.000
30461,114700.000,5776.000
30544,118900.000,6101.000
30627,124600.000,6976.000
30710,120500.000,6176.000
30793,118700.000,5676.000
30876,111500.000,5926.000
30959,119200.000,5826.000
31042,122800.000,5926.000
31125,117300.000,6401.000
31208,121200.000,6901.000
31291,120600.000,5676.000
31374,117200.000,5826.000
31457,119500.000,6001.000
31540,121400.000,5926.000
31623,114300.000,6201.000
31706,116100.000,6176.000
31789,121300.000,5626.000
31872,123900.000,5851.000
31955,119500.000,6126.000
32038,117600.000,6101.000
32121,118700.000,5701.000
32204,122900.000,6551.000
32287,118900.000,6876.000
32370,119800.000,6151.000
32453,116400.000,6276.000
32536,121800.000,5876.000
32619,116600.000,5826.000
32702,121300.000,7076.000
32785,121900.000,6126.000
32868,121800.000,6426.000
32951,119900.000,6176.000
33034,118700.000,6576.000
33117,118800.000,5501.000
33200,111100.000,6176.000
33283,122900.000,5476.000
33366,117700.000,5951.000
33449,119400.000,5776.000
33532,119600.000,6476.000
33615,122500.000,6076.000
33698,111300.000,6551.000
33781,119500.000,6426.000
33864,115500.000,6576.000
33947,115700.000,6226.000
34030,115700.000,6351.000
34113,117100.000,5526.000
34196,120000.000,5776.000
34279,115000.000,6801.000
34362,113500.000,5976.000
34445,119200.000,6376.000
34528,119700.000,6176.000
34611,122900.000,6676.000
34694,120000.000,6726.000
34777,116700.000,6401.000
34860,117400.000,5151.000
34943,120600.000,5651.000
35026,121200.000,6176.000
35109,123700.000,6826.000
35192,120100.000,6326.000
35275,123700.000,6126.000
35358,120600.000,7101.000
35441,117500.000,6451.000
35524,120800.000,6551.000
35607,123600.000,6501.000
35690,117300.000,6251.000
35773,122800.000,6951.000
35856,121500.000,5751.000
35939,125900.000,5976.000
36022,123300.000,5501.000
36105,128500.000,6426.000
36188,123100.000,6501.000
